GenOpt(R) Version 3.1.1, March 29, 2016

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2016, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSHookeJeeves algorithm
Start time: Thu Oct 26 09:30:01 EET 2017

All Iterations


Simulation Number	Main Iteration	Sub Iteration	Step Number	f(x)	c1	c2	cs1	cs2	RPar	RSer
1	1	1	1	0.4568690037868374	0.0054	7.0E-4	0.75	0.0035	250.0	0.005	Initial point.
2	2	1	1	0.4568460356898703	0.005401	7.0E-4	0.75	0.0035	250.0	0.005	Cost reduced     at c1+dc1.
3	2	2	1	0.45684658660146965	0.005401	7.01E-4	0.75	0.0035	250.0	0.005	Cost not reduced at c2+dc2.
4	2	3	1	0.45685141631690046	0.005401	6.99E-4	0.75	0.0035	250.0	0.005	Cost not reduced at c2-dc2.
5	2	4	1	0.4567055876023483	0.005401	7.0E-4	0.7501	0.0035	250.0	0.005	Cost reduced     at cs1+dcs1.
6	2	5	1	0.45652439694928876	0.005401	7.0E-4	0.7501	0.003501	250.0	0.005	Cost reduced     at cs2+dcs2.
7	2	6	1	0.4565241250910463	0.005401	7.0E-4	0.7501	0.003501	250.1	0.005	Cost reduced     at RPar+dRPar.
8	2	7	1	0.4561530897355172	0.005401	7.0E-4	0.7501	0.003501	250.1	0.00501	Cost reduced     at RSer+dRSer.
8	2	8	1	0.4561530897355172	0.005401	7.0E-4	0.7501	0.003501	250.1	0.00501	Global search reduced cost.
9	3	1	1	0.4555883322676392	0.005402	7.0E-4	0.7502	0.003502	250.2	0.00502	Exploration base, Delta = 1.0.
10	3	2	1	0.45564852732004035	0.005403	7.0E-4	0.7502	0.003502	250.2	0.00502	Cost not reduced at c1+dc1.
11	3	3	1	0.4555997239109302	0.005401	7.0E-4	0.7502	0.003502	250.2	0.00502	Cost not reduced at c1-dc1.
12	3	4	1	0.4555981210353679	0.005402	7.01E-4	0.7502	0.003502	250.2	0.00502	Cost not reduced at c2+dc2.
13	3	5	1	0.45558617589079037	0.005402	6.99E-4	0.7502	0.003502	250.2	0.00502	Cost reduced     at c2-dc2.
14	3	6	1	0.45544800460744167	0.005402	6.99E-4	0.7503	0.003502	250.2	0.00502	Cost reduced     at cs1+dcs1.
15	3	7	1	0.45527370565970277	0.005402	6.99E-4	0.7503	0.003503	250.2	0.00502	Cost reduced     at cs2+dcs2.
16	3	8	1	0.455273424104882	0.005402	6.99E-4	0.7503	0.003503	250.3	0.00502	Cost reduced     at RPar+dRPar.
17	3	9	1	0.45525351534758346	0.005402	6.99E-4	0.7503	0.003503	250.3	0.00503	Cost reduced     at RSer+dRSer.
17	3	10	1	0.45525351534758346	0.005402	6.99E-4	0.7503	0.003503	250.3	0.00503	Global search reduced cost.
18	4	1	1	0.4542025420370365	0.005403	6.98E-4	0.7505	0.003505	250.5	0.00505	Exploration base, Delta = 1.0.
19	4	2	1	0.45424148368301653	0.005404	6.98E-4	0.7505	0.003505	250.5	0.00505	Cost not reduced at c1+dc1.
20	4	3	1	0.4542361682306968	0.005402	6.98E-4	0.7505	0.003505	250.5	0.00505	Cost not reduced at c1-dc1.
21	4	4	1	0.45420779273178064	0.005403	6.97E-4	0.7505	0.003505	250.5	0.00505	Cost not reduced at c2-dc2.
22	4	5	1	0.45417180447890176	0.005403	6.99E-4	0.7505	0.003505	250.5	0.00505	Cost reduced     at c2+dc2.
23	4	6	1	0.45403648384686424	0.005403	6.99E-4	0.7506	0.003505	250.5	0.00505	Cost reduced     at cs1+dcs1.
24	4	7	1	0.45387034931560655	0.005403	6.99E-4	0.7506	0.003506	250.5	0.00505	Cost reduced     at cs2+dcs2.
25	4	8	1	0.45387005878754927	0.005403	6.99E-4	0.7506	0.003506	250.6	0.00505	Cost reduced     at RPar+dRPar.
26	4	9	1	0.45370299248783535	0.005403	6.99E-4	0.7506	0.003506	250.6	0.00506	Cost reduced     at RSer+dRSer.
26	4	10	1	0.45370299248783535	0.005403	6.99E-4	0.7506	0.003506	250.6	0.00506	Global search reduced cost.
27	5	1	1	0.45239589055335494	0.005404	6.99E-4	0.7509	0.003509	250.9	0.00509	Exploration base, Delta = 1.0.
28	5	2	1	0.452325153690031	0.005405	6.99E-4	0.7509	0.003509	250.9	0.00509	Cost reduced     at c1+dc1.
29	5	3	1	0.45234991277458475	0.005405	7.0E-4	0.7509	0.003509	250.9	0.00509	Cost not reduced at c2+dc2.
30	5	4	1	0.45230579579954727	0.005405	6.98E-4	0.7509	0.003509	250.9	0.00509	Cost reduced     at c2-dc2.
31	5	5	1	0.4521749116539095	0.005405	6.98E-4	0.751	0.003509	250.9	0.00509	Cost reduced     at cs1+dcs1.
32	5	6	1	0.45202138990169477	0.005405	6.98E-4	0.751	0.00351	250.9	0.00509	Cost reduced     at cs2+dcs2.
33	5	7	1	0.4520211011944498	0.005405	6.98E-4	0.751	0.00351	251.0	0.00509	Cost reduced     at RPar+dRPar.
34	5	8	1	0.45188416461875525	0.005405	6.98E-4	0.751	0.00351	251.0	0.0051	Cost reduced     at RSer+dRSer.
34	5	9	1	0.45188416461875525	0.005405	6.98E-4	0.751	0.00351	251.0	0.0051	Global search reduced cost.
35	6	1	1	0.45044795950145733	0.005407	6.97E-4	0.7514	0.003514	251.4	0.00514	Exploration base, Delta = 1.0.
36	6	2	1	0.4505274913479984	0.005408	6.97E-4	0.7514	0.003514	251.4	0.00514	Cost not reduced at c1+dc1.
37	6	3	1	0.4504149944709071	0.005406	6.97E-4	0.7514	0.003514	251.4	0.00514	Cost reduced     at c1-dc1.
38	6	4	1	0.45041440370558117	0.005406	6.96E-4	0.7514	0.003514	251.4	0.00514	Cost reduced     at c2-dc2.
39	6	5	1	0.4502903278946793	0.005406	6.96E-4	0.7515	0.003514	251.4	0.00514	Cost reduced     at cs1+dcs1.
40	6	6	1	0.45015723765871635	0.005406	6.96E-4	0.7515	0.003515	251.4	0.00514	Cost reduced     at cs2+dcs2.
41	6	7	1	0.4501568933084655	0.005406	6.96E-4	0.7515	0.003515	251.5	0.00514	Cost reduced     at RPar+dRPar.
42	6	8	1	0.45010746645230537	0.005406	6.96E-4	0.7515	0.003515	251.5	0.00515	Cost reduced     at RSer+dRSer.
42	6	9	1	0.45010746645230537	0.005406	6.96E-4	0.7515	0.003515	251.5	0.00515	Global search reduced cost.
43	7	1	1	0.44894500911288715	0.005407	6.94E-4	0.752	0.00352	252.0	0.0052	Exploration base, Delta = 1.0.
44	7	2	1	0.44912675590974016	0.005406	6.94E-4	0.752	0.00352	252.0	0.0052	Cost not reduced at c1-dc1.
45	7	3	1	0.4488917581010434	0.005408	6.94E-4	0.752	0.00352	252.0	0.0052	Cost reduced     at c1+dc1.
46	7	4	1	0.44890466326582884	0.005408	6.93E-4	0.752	0.00352	252.0	0.0052	Cost not reduced at c2-dc2.
47	7	5	1	0.4488843002058269	0.005408	6.95E-4	0.752	0.00352	252.0	0.0052	Cost reduced     at c2+dc2.
48	7	6	1	0.44876783162874423	0.005408	6.95E-4	0.7521	0.00352	252.0	0.0052	Cost reduced     at cs1+dcs1.
49	7	7	1	0.44861010222172076	0.005408	6.95E-4	0.7521	0.003521	252.0	0.0052	Cost reduced     at cs2+dcs2.
50	7	8	1	0.44860972287075895	0.005408	6.95E-4	0.7521	0.003521	252.1	0.0052	Cost reduced     at RPar+dRPar.
51	7	9	1	0.4486540716765441	0.005408	6.95E-4	0.7521	0.003521	252.1	0.00521	Cost not reduced at RSer+dRSer.
52	7	10	1	0.4486260338673759	0.005408	6.95E-4	0.7521	0.003521	252.1	0.00519	Cost not reduced at RSer-dRSer.
50	7	11	1	0.44860972287075895	0.005408	6.95E-4	0.7521	0.003521	252.1	0.0052	Global search reduced cost.
53	8	1	1	0.44772307144909773	0.00541	6.94E-4	0.7527	0.003527	252.7	0.00525	Exploration base, Delta = 1.0.
54	8	2	1	0.44773463164351357	0.005411	6.94E-4	0.7527	0.003527	252.7	0.00525	Cost not reduced at c1+dc1.
55	8	3	1	0.4477582846734734	0.005409	6.94E-4	0.7527	0.003527	252.7	0.00525	Cost not reduced at c1-dc1.
56	8	4	1	0.4477217585543846	0.00541	6.95E-4	0.7527	0.003527	252.7	0.00525	Cost reduced     at c2+dc2.
57	8	5	1	0.44761173576885255	0.00541	6.95E-4	0.7528	0.003527	252.7	0.00525	Cost reduced     at cs1+dcs1.
58	8	6	1	0.44751823378269234	0.00541	6.95E-4	0.7528	0.003528	252.7	0.00525	Cost reduced     at cs2+dcs2.
59	8	7	1	0.4475178368882685	0.00541	6.95E-4	0.7528	0.003528	252.8	0.00525	Cost reduced     at RPar+dRPar.
60	8	8	1	0.447636440594265	0.00541	6.95E-4	0.7528	0.003528	252.8	0.00526	Cost not reduced at RSer+dRSer.
61	8	9	1	0.44741306446411516	0.00541	6.95E-4	0.7528	0.003528	252.8	0.00524	Cost reduced     at RSer-dRSer.
61	8	10	1	0.44741306446411516	0.00541	6.95E-4	0.7528	0.003528	252.8	0.00524	Global search reduced cost.
62	9	1	1	0.4465846664613972	0.005412	6.95E-4	0.7535	0.003535	253.5	0.00528	Exploration base, Delta = 1.0.
63	9	2	1	0.44669465396736435	0.005413	6.95E-4	0.7535	0.003535	253.5	0.00528	Cost not reduced at c1+dc1.
64	9	3	1	0.4465683749637514	0.005411	6.95E-4	0.7535	0.003535	253.5	0.00528	Cost reduced     at c1-dc1.
65	9	4	1	0.446568665413674	0.005411	6.96E-4	0.7535	0.003535	253.5	0.00528	Cost not reduced at c2+dc2.
66	9	5	1	0.44657353948440004	0.005411	6.94E-4	0.7535	0.003535	253.5	0.00528	Cost not reduced at c2-dc2.
67	9	6	1	0.44646411152090193	0.005411	6.95E-4	0.7536	0.003535	253.5	0.00528	Cost reduced     at cs1+dcs1.
68	9	7	1	0.4463866034033357	0.005411	6.95E-4	0.7536	0.003536	253.5	0.00528	Cost reduced     at cs2+dcs2.
69	9	8	1	0.44638617979308054	0.005411	6.95E-4	0.7536	0.003536	253.6	0.00528	Cost reduced     at RPar+dRPar.
70	9	9	1	0.4462140943537826	0.005411	6.95E-4	0.7536	0.003536	253.6	0.00527	Cost reduced     at RSer-dRSer.
