GenOpt(R) Version 3.1.1, March 29, 2016

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2016, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSHookeJeeves algorithm
Start time: Thu Oct 26 09:30:01 EET 2017

Main Iterations


Simulation Number	Main Iteration	Step Number	f(x)	c1	c2	cs1	cs2	RPar	RSer
1	1	1	0.4568690037868374	0.0054	7.0E-4	0.75	0.0035	250.0	0.005	Initial point.
8	2	1	0.4561530897355172	0.005401	7.0E-4	0.7501	0.003501	250.1	0.00501	Global search reduced cost.
17	3	1	0.45525351534758346	0.005402	6.99E-4	0.7503	0.003503	250.3	0.00503	Global search reduced cost.
26	4	1	0.45370299248783535	0.005403	6.99E-4	0.7506	0.003506	250.6	0.00506	Global search reduced cost.
34	5	1	0.45188416461875525	0.005405	6.98E-4	0.751	0.00351	251.0	0.0051	Global search reduced cost.
42	6	1	0.45010746645230537	0.005406	6.96E-4	0.7515	0.003515	251.5	0.00515	Global search reduced cost.
50	7	1	0.44860972287075895	0.005408	6.95E-4	0.7521	0.003521	252.1	0.0052	Global search reduced cost.
61	8	1	0.44741306446411516	0.00541	6.95E-4	0.7528	0.003528	252.8	0.00524	Global search reduced cost.
70	9	1	0.4462140943537826	0.005411	6.95E-4	0.7536	0.003536	253.6	0.00527	Global search reduced cost.
78	10	1	0.4450185181907691	0.005412	6.96E-4	0.7545	0.003545	254.5	0.00529	Global search reduced cost.
87	11	1	0.4436401242444088	0.005413	6.96E-4	0.7555	0.003555	255.5	0.0053	Global search reduced cost.
95	12	1	0.4420629978251844	0.005414	6.95E-4	0.7566	0.003566	256.6	0.0053	Global search reduced cost.
104	13	1	0.44016438620482595	0.005415	6.94E-4	0.7578	0.003578	257.8	0.00529	Global search reduced cost.
112	14	1	0.43787705650492376	0.005416	6.92E-4	0.7591	0.003591	259.1	0.00527	Global search reduced cost.
121	15	1	0.4351559188022438	0.005417	6.9E-4	0.7605	0.003605	260.5	0.00524	Global search reduced cost.
